"Species_name","Note","X","X.1","X.2","X.3","X.4","X.5","cleaned_name","tnrs_original_name","tnrs_matched_name","tnrs_accepted_name","tnrs_accepted_author","tnrs_family","tnrs_powo_uri","tnrs_taxonomic_status","tnrs_overall_score","tnrs_match_type"
"Lactuca virosa L."," Sp. Pl.: 795 (1753)","","","","","","","Lactuca virosa L.","Lactuca virosa L.","Lactuca virosa","Lactuca virosa","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329493-2","Accepted",1,"accepted_or_direct"
"Lagenaria siceraria (Molina) Standl."," Publ. Field Mus. Nat. Hist."," Bot."," ser. 3: 435 (1930)","","","","","Lagenaria siceraria (Molina) Standl.","Lagenaria siceraria (Molina) Standl.","Lagenaria siceraria","Lagenaria siceraria","(Molina) Standl.","Cucurbitaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:134809-2","Accepted",1,"accepted_or_direct"
"Lagerstroemia indica L."," Syst. Nat."," ed. 10: 1076 (1759)","","","","","","Lagerstroemia indica L.","Lagerstroemia indica L.","Lagerstroemia indica","Lagerstroemia indica","L.","Lythraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:553576-1","Accepted",1,"accepted_or_direct"
"Lagurus ovatus L."," Sp. Pl.: 81 (1753)","","","","","","","Lagurus ovatus L.","Lagurus ovatus L.","Lagurus ovatus","Lagurus ovatus","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:406799-1","Accepted",1,"accepted_or_direct"
"Lamarckia aurea (L.) Moench"," Methodus: 201 (1794)","","","","","","","Lamarckia aurea (L.) Moench","Lamarckia aurea (L.) Moench","Lamarckia aurea","Lamarckia aurea","(L.) Moench","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:406803-1","Accepted",1,"accepted_or_direct"
"Lamium album L."," Sp. Pl.: 579 (1753)","","","","","","","Lamium album L.","Lamium album L.","Lamium album","Lamium album","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:448792-1","Accepted",1,"accepted_or_direct"
"Lamium amplexicaule L."," Sp. Pl.: 579 (1753)","","","","","","","Lamium amplexicaule L.","Lamium amplexicaule L.","Lamium amplexicaule","Lamium amplexicaule","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:448797-1","Accepted",1,"accepted_or_direct"
"Lamium galeobdolon (L.) L."," Amoen. Acad. 4: 485 (1759)","","","","","","","Lamium galeobdolon (L.) L.","Lamium galeobdolon (L.) L.","Lamium galeobdolon","Lamium galeobdolon","(L.) L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60452701-2","Accepted",1,"accepted_or_direct"
"Lamium hybridum Vill."," Hist. Pl. Dauphin,"","","","","","","Lamium hybridum Vill.","Lamium hybridum Vill.","Lamium hybridum","Lamium hybridum","Vill.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:448866-1","Accepted",1,"accepted_or_direct"
"Lamium maculatum L."," Sp. Pl."," ed. 2: 809 (1763)","","","","","","Lamium maculatum L.","Lamium maculatum L.","Lamium maculatum","Lamium maculatum","(L.) L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:448886-1","Accepted",0.91818,"accepted_or_direct"
"Lamium purpureum L."," Sp. Pl.: 579 (1753)","","","","","","","Lamium purpureum L.","Lamium purpureum L.","Lamium purpureum","Lamium purpureum","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:448939-1","Accepted",1,"accepted_or_direct"
"Lampranthus multiradiatus (Jacq.) N.E.Br."," Gard. Chron."," ser. 3"," 87: 71 (1930)","","","","","Lampranthus multiradiatus (Jacq.) N.E.Br.","Lampranthus multiradiatus (Jacq.) N.E.Br.","Lampranthus multiradiatus","Lampranthus multiradiatus","(Jacq.) N.E.Br.","Aizoaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:362274-1","Accepted",1,"accepted_or_direct"
"Lantana camara L."," Sp. Pl.: 627 (1753)","","","","","","","Lantana camara L.","Lantana camara L.","Lantana camara","Lantana camara","L.","Verbenaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:325686-2","Accepted",1,"accepted_or_direct"
"Laphangium luteoalbum (L.) Tzvelev"," Byull. Moskovsk. Obshch. Isp. Prir. Otd. Biol 98(6): 105 (1993)","","","","","","","Laphangium luteoalbum (L.) Tzvelev","Laphangium luteoalbum (L.) Tzvelev","Laphangium luteoalbum","Pseudognaphalium luteoalbum","(L.) Hilliard & B.L.Burtt","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:977249-1","Synonym",1,"synonym_to_accepted"
"Lapsana communis L."," Sp. Pl.: 811 (1753)","","","","","","","Lapsana communis L.","Lapsana communis L.","Lapsana communis","Lapsana communis","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:228732-1","Accepted",1,"accepted_or_direct"
"Larix decidua Mill."," Gard. Dict."," ed. 8: n.,"","","","","","Larix decidua Mill.","Larix decidua Mill.","Larix decidua","Larix decidua","Mill.","Pinaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:262420-1","Accepted",1,"accepted_or_direct"
"Larix kaempferi (Lamb.) Carri," Fl. Serres Jard. Eur. 11: 97 (1856)","","","","","","","Larix kaempferi (Lamb.) Carri�re","Larix kaempferi (Lamb.) Carri�re","Larix kaempferi","Larix kaempferi","(Lamb.) Carrière","Pinaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60457419-2","Accepted",0.9732,"accepted_or_direct"
"Laserpitium eliasii Sennen & Pau"," Bol. Soc. Aragonesa Ci. Nat. 6: 25 (1907) subsp. eliasii","","","","","","","Laserpitium eliasii Sennen & Pau","Laserpitium eliasii Sennen & Pau","Laserpitium eliasii","Thapsia eliasii","(Sennen & Pau) Wojew., Banasiak, Reduron & Spalik","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:843996-1","Synonym",1,"synonym_to_accepted"
"Laserpitium latifolium L."," Sp. Pl.: 248 (1753) subsp. latifolium","","","","","","","Laserpitium latifolium L.","Laserpitium latifolium L.","Laserpitium latifolium","Laserpitium latifolium","L.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:844027-1","Accepted",1,"accepted_or_direct"
"Laserpitium latifolium L. subsp. merinoi P.Monts."," Acta Bot. Barcinon. 49: 34 (2003)","","","","","","","Laserpitium latifolium L. subsp. merinoi P.Monts.","Laserpitium latifolium L. subsp. merinoi P.Monts.","Laserpitium latifolium subsp. merinoi","Laserpitium latifolium subsp. merinoi","P.Monts.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60435643-2","Accepted",1,"accepted_or_direct"
"Laserpitium nestleri Soy.-Will. subsp. flabellatum P.Monts."," Collect. Bot. (Barcelona) 26: 55 (2003)","","","","","","","Laserpitium nestleri Soy.-Will. subsp. flabellatum P.Monts.","Laserpitium nestleri Soy.-Will. subsp. flabellatum P.Monts.","Laserpitium nestleri subsp. flabellatum","Thapsia nestleri subsp. flabellata","(P.Monts.) Fern.Prieto, García Fresno, Sanna & Cires","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2914216-4","Synonym",1,"synonym_to_accepted"
"Laserpitium prutenicum L. subsp. dufourianum (Rouy & E.G.Camus) Braun-Blanq."," Ann. Soc. Linn. Lyon"," ser. 2"," 75: 17 (1929)","","","","","Laserpitium prutenicum L. subsp. dufourianum (Rouy & E.G.Camus) Braun-Blanq.","Laserpitium prutenicum L. subsp. dufourianum (Rouy & E.G.Camus) Braun-Blanq.","Laserpitium prutenicum subsp. dufourianum","Silphiodaucus prutenicus subsp. dufourianus","(Rouy & E.G.Camus) Fern.Prieto, García Fresno, Sanna & Cires","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3250969-4","Synonym",1,"synonym_to_accepted"
"Lathraea clandestina L."," Sp. Pl.: 605 (1753)","","","","","","","Lathraea clandestina L.","Lathraea clandestina L.","Lathraea clandestina","Lathraea clandestina","L.","Orobanchaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:662042-1","Accepted",1,"accepted_or_direct"
"Lathraea squamarina L."," Sp. Pl.: 605 (1753)","","","","","","","Lathraea squamarina L.","Lathraea squamarina L.","Lathraea squamaria","Lathraea squamaria","L.","Orobanchaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:662054-1","Accepted",0.98742808245593,"accepted_or_direct"
"Lathyrus angulatus L."," Sp. Pl.: 731 (1753)","","","","","","","Lathyrus angulatus L.","Lathyrus angulatus L.","Lathyrus angulatus","Lathyrus angulatus","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501573-1","Accepted",1,"accepted_or_direct"
"Lathyrus aphaca L."," Sp. Pl.: 729 (1753)","","","","","","","Lathyrus aphaca L.","Lathyrus aphaca L.","Lathyrus aphaca","Lathyrus aphaca","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501579-1","Accepted",1,"accepted_or_direct"
"Lathyrus bauhinii Genty"," Bull. Soc. Dauphin. ," ser. 2"," 3: 90 (1892)","","","","","Lathyrus bauhinii Genty","Lathyrus bauhinii Genty","Lathyrus bauhini","Lathyrus bauhini","P.A.Genty","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501605-1","Accepted",0.91227639483995,"accepted_or_direct"
"Lathyrus filiformis (Lam.) J.Gay"," Ann. Sci. Nat."," Bot."," ser. 4"," 8: 315 (1857)","","","","Lathyrus filiformis (Lam.) J.Gay","Lathyrus filiformis (Lam.) J.Gay","Lathyrus filiformis","Lathyrus filiformis","(Lam.) J.Gay","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501709-1","Accepted",1,"accepted_or_direct"
"Lathyrus hirsutus L."," Sp. Pl.: 732 (1753)","","","","","","","Lathyrus hirsutus L.","Lathyrus hirsutus L.","Lathyrus hirsutus","Lathyrus hirsutus","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501755-1","Accepted",1,"accepted_or_direct"
"Lathyrus latifolius L."," Sp. Pl.: 733 (1753)","","","","","","","Lathyrus latifolius L.","Lathyrus latifolius L.","Lathyrus latifolius","Lathyrus latifolius","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501802-1","Accepted",1,"accepted_or_direct"
"Lathyrus linifolius (Reichard) B," Feddes Repert. 82(6): 434 (1971)","","","","","","","Lathyrus linifolius (Reichard) B�ssler","Lathyrus linifolius (Reichard) B�ssler","Lathyrus linifolius","Lathyrus linifolius","(Reichard) Bässler","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501820-1","Accepted",0.97596,"accepted_or_direct"
"Lathyrus niger (L.) Bernh."," Syst. Verz.: 248 (1800)","","","","","","","Lathyrus niger (L.) Bernh.","Lathyrus niger (L.) Bernh.","Lathyrus niger","Lathyrus niger","(L.) Bernh.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501886-1","Accepted",1,"accepted_or_direct"
"Lathyrus nissolia L."," Sp. Pl.: 729 (1753)","","","","","","","Lathyrus nissolia L.","Lathyrus nissolia L.","Lathyrus nissolia","Lathyrus nissolia","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501889-1","Accepted",1,"accepted_or_direct"
"Lathyrus nudicaulis (Willk.) Amo"," Mem. Real Acad. Ci. Exact. Madrid 5: 321 (1861)","","","","","","","Lathyrus nudicaulis (Willk.) Amo","Lathyrus nudicaulis (Willk.) Amo","Lathyrus nudicaulis","Lathyrus palustris subsp. nudicaulis","(Willk.) P.W.Ball","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501895-1","Synonym",1,"synonym_to_accepted"
"Lathyrus occidentalis (Fisch. & C.A.Mey.) Fritsch"," Sitz.-Ber. Akad. Wiss. Wien 104: 499"," 517 (1895)","","","","","","Lathyrus occidentalis (Fisch. & C.A.Mey.) Fritsch","Lathyrus occidentalis (Fisch. & C.A.Mey.) Fritsch","Lathyrus occidentalis","Lathyrus laevigatus subsp. occidentalis","(Fisch. & C.A.Mey.) Breistr.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501900-1","Synonym",1,"synonym_to_accepted"
"Lathyrus pratensis L."," Sp. Pl.: 733 (1753)","","","","","","","Lathyrus pratensis L.","Lathyrus pratensis L.","Lathyrus pratensis","Lathyrus pratensis","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501954-1","Accepted",1,"accepted_or_direct"
"Lathyrus setifolius L."," Sp. Pl.: 731 (1753) ","","","","","","","Lathyrus setifolius L.","Lathyrus setifolius L.","Lathyrus setifolius","Lathyrus setifolius","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:502002-1","Accepted",1,"accepted_or_direct"
"Lathyrus sphaericus Retz."," Observ. Bot. 3: 39 (1783)","","","","","","","Lathyrus sphaericus Retz.","Lathyrus sphaericus Retz.","Lathyrus sphaericus","Lathyrus sphaericus","Retz.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:502014-1","Accepted",1,"accepted_or_direct"
"Lathyrus sylvestris L."," Sp. Pl.: 733 (1753)","","","","","","","Lathyrus sylvestris L.","Lathyrus sylvestris L.","Lathyrus sylvestris","Lathyrus sylvestris","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:502035-1","Accepted",1,"accepted_or_direct"
"Laurus nobilis L."," Sp. Pl.: 369 (1753)","","","","","","","Laurus nobilis L.","Laurus nobilis L.","Laurus nobilis","Laurus nobilis","L.","Lauraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:465049-1","Accepted",1,"accepted_or_direct"
"Lavandula dentata L."," Sp. Pl.: 572 (1753)","","","","","","","Lavandula dentata L.","Lavandula dentata L.","Lavandula dentata","Lavandula dentata","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:449031-1","Accepted",1,"accepted_or_direct"
"Lavandula latifolia Medik."," Bot. Beob. 1783: 135 (1784)","","","","","","","Lavandula latifolia Medik.","Lavandula latifolia Medik.","Lavandula latifolia","Lavandula latifolia","Medik.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:449051-1","Accepted",1,"accepted_or_direct"
"Lavandula stoechas subsp. sampaioana Rozeira"," Brot,"","","","","","","Lavandula stoechas subsp. sampaioana Rozeira","Lavandula stoechas subsp. sampaioana Rozeira","Lavandula stoechas subsp. sampaioana","Lavandula pedunculata subsp. sampaioana","(Rozeira) Franco","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77256890-1","Synonym",1,"synonym_to_accepted"
"Leersia oryzoides (L.) Sw."," Nov. Gen. Sp. Pl.: 21 (1788)","","","","","","","Leersia oryzoides (L.) Sw.","Leersia oryzoides (L.) Sw.","Leersia oryzoides","Leersia oryzoides","(L.) Sw.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1109632-2","Accepted",1,"accepted_or_direct"
"Legousia scabra (Lowe) Gamisans"," Cat. Pl. Vasc. Corse: 100 (1985)","","","","","","","Legousia scabra (Lowe) Gamisans","Legousia scabra (Lowe) Gamisans","Legousia scabra","Legousia falcata","(Ten.) Fritsch ex Janch.","Campanulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:915189-1","Synonym",1,"synonym_to_accepted"
"Lemna gibba L."," Sp. Pl.: 970 (1753)","","","","","","","Lemna gibba L.","Lemna gibba L.","Lemna gibba","Lemna gibba","L.","Araceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:526178-1","Accepted",1,"accepted_or_direct"
"Lemna minor L."," Sp. Pl.: 970 (1753)","","","","","","","Lemna minor L.","Lemna minor L.","Lemna minor","Lemna minor","L.","Araceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:526194-1","Accepted",1,"accepted_or_direct"
"Lens culinaris Medik."," Vorles. Churpf,"","","","","","","Lens culinaris Medik.","Lens culinaris Medik.","Lens culinaris","Vicia lens","(L.) Coss. & Germ.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30001819-2","Synonym",1,"synonym_to_accepted"
"Leonotis leonurus (L.) R.Br."," Hort. Kew."," ed. 2"," 3: 410 (1811)","","","","","Leonotis leonurus (L.) R.Br.","Leonotis leonurus (L.) R.Br.","Leonotis leonurus","Leonotis leonurus","(L.) R.Br.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:449133-1","Accepted",1,"accepted_or_direct"
"Leontodon hispidus L."," Sp. Pl.: 799 (1753)","","","","","","","Leontodon hispidus L.","Leontodon hispidus L.","Leontodon hispidus","Leontodon hispidus","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229358-1","Accepted",1,"accepted_or_direct"
"Leontodon saxatilis Lam. subsp. rothii Maire"," in Jahandiez & Maire"," Cat. Pl. Maroc: 833 (1934)","","","","","","Leontodon saxatilis Lam. subsp. rothii Maire","Leontodon saxatilis Lam. subsp. rothii Maire","Leontodon saxatilis subsp. rothii","Leontodon longirostris","(Finch & P.D.Sell) Talavera","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3235604-4","Synonym",0.9223,"synonym_to_accepted"
"Leontodon saxatilis Lam."," Fl. Fran,"","","","","","","Leontodon saxatilis Lam.","Leontodon saxatilis Lam.","Leontodon saxatilis","Leontodon saxatilis","Lam.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229484-1","Accepted",1,"accepted_or_direct"
"Leopoldia comosa (L.) Parl."," Giorn. Bot. Ital. 2(2): 160 (1847)","","","","","","","Leopoldia comosa (L.) Parl.","Leopoldia comosa (L.) Parl.","Leopoldia comosa","Muscari comosum","(L.) Mill.","Asparagaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:537347-1","Synonym",1,"synonym_to_accepted"
"Lepidium campestre (L.) R.Br."," in W.T.Aiton"," Hort. Kew."," ed. 2"," 4: 88 (1812)","","","","Lepidium campestre (L.) R.Br.","Lepidium campestre (L.) R.Br.","Lepidium campestre","Lepidium campestre","(L.) W.T.Aiton","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:286087-1","Accepted",0.91458,"accepted_or_direct"
"Lepidium graminifolium L."," Syst. Nat."," ed. 10: 1127 (1759)","","","","","","Lepidium graminifolium L.","Lepidium graminifolium L.","Lepidium graminifolium","Lepidium graminifolium","L.","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324674-2","Accepted",1,"accepted_or_direct"
"Lepidium heterophyllum Benth."," Cat. Pl. Pyr,"","","","","","","Lepidium heterophyllum Benth.","Lepidium heterophyllum Benth.","Lepidium heterophyllum","Lepidium heterophyllum","Benth.","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:286210-1","Accepted",1,"accepted_or_direct"
"Lepidium latifolium L."," Sp. Pl.: 644 (1753)","","","","","","","Lepidium latifolium L.","Lepidium latifolium L.","Lepidium latifolium","Lepidium latifolium","L.","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:286262-1","Accepted",1,"accepted_or_direct"
"Lepidium virginicum L."," Sp. Pl.: 645 (1753)","","","","","","","Lepidium virginicum L.","Lepidium virginicum L.","Lepidium virginicum","Lepidium virginicum","L.","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:138164-2","Accepted",1,"accepted_or_direct"
"Leptospermum scoparium J.R.Forst. & G.Forst."," Char. Gen. Pl.: 36 (1775)","","","","","","","Leptospermum scoparium J.R.Forst. & G.Forst.","Leptospermum scoparium J.R.Forst. & G.Forst.","Leptospermum scoparium","Leptospermum scoparium","J.R.Forst. & G.Forst.","Myrtaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:597505-1","Accepted",1,"accepted_or_direct"
"Leucanthemopsis flaveola (Hoffmanns. & Link) Heywood"," Anales Inst. Bot. Cavanilles 32(2): 184 (1975)","","","","","","","Leucanthemopsis flaveola (Hoffmanns. & Link) Heywood","Leucanthemopsis flaveola (Hoffmanns. & Link) Heywood","Leucanthemopsis flaveola","Leucanthemopsis flaveola","(Hoffmanns. & Link) Heywood","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229942-1","Accepted",1,"accepted_or_direct"
"Leucanthemum gaudinii Dalla Torre subsp. cantabricum (Font Quer & Guinea) Vogt"," Ruizia 10: 98 (1991)","","","","","","","Leucanthemum gaudinii Dalla Torre subsp. cantabricum (Font Quer & Guinea) Vogt","Leucanthemum gaudinii Dalla Torre subsp. cantabricum (Font Quer & Guinea) Vogt","Leucanthemum gaudinii subsp. cantabricum","Leucanthemum cacuminis","Vogt, Konowalik & Oberpr.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:966787-1","Synonym",1,"synonym_to_accepted"
"Leucanthemum ircutianum (Turcz.) DC. subsp. cantabricum (Sennen) Vogt"," Ruizia 10: 121 (1991)","","","","","","","Leucanthemum ircutianum (Turcz.) DC. subsp. cantabricum (Sennen) Vogt","Leucanthemum ircutianum (Turcz.) DC. subsp. cantabricum (Sennen) Vogt","Leucanthemum ircutianum subsp. cantabricum","Leucanthemum ircutianum subsp. cantabricum","(Sennen) Vogt","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:966788-1","Accepted",1,"accepted_or_direct"
"Leucanthemum ircutianum (Turcz.) DC. subsp. crassifolium (Lange) Vogt"," Ruizia 10: 127 (1991)","","","","","","","Leucanthemum ircutianum (Turcz.) DC. subsp. crassifolium (Lange) Vogt","Leucanthemum ircutianum (Turcz.) DC. subsp. crassifolium (Lange) Vogt","Leucanthemum ircutianum subsp. crassifolium","Leucanthemum ircutianum subsp. crassifolium","(Lange) Vogt","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:966789-1","Accepted",1,"accepted_or_direct"
"Leucanthemum maximum (Ramond) DC."," Prodr. 6: 46 (1838)","","","","","","","Leucanthemum maximum (Ramond) DC.","Leucanthemum maximum (Ramond) DC.","Leucanthemum maximum","Leucanthemum maximum","(Ramond) DC.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:230047-1","Accepted",1,"accepted_or_direct"
"Leucanthemum pluriflorum Pau"," Bol. Soc. Aragonesa Ci. Nat. 1: 31 (1902)","","","","","","","Leucanthemum pluriflorum Pau","Leucanthemum pluriflorum Pau","Leucanthemum pluriflorum","Leucanthemum pluriflorum","Pau","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:230068-1","Accepted",1,"accepted_or_direct"
"Leucotho," Bot. Jahrb. Syst. 78(4): 438-439 (1959) ","","","","","","","Leucotho� fontanesiana (Steud.) Sleumer.","Leucotho� fontanesiana (Steud.) Sleumer.","[No match found]","","","","","",NA,"unresolved_no_match"
"Levisticum officinale W.D.J.Koch"," Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur. 12(1): 101 (1824)","","","","","","","Levisticum officinale W.D.J.Koch","Levisticum officinale W.D.J.Koch","Levisticum officinale","Levisticum officinale","W.D.J.Koch","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:844187-1","Accepted",1,"accepted_or_direct"
"Leycesteria formosa Wall."," in Roxb."," Fl. Indica 2: 182 (1824)","","","","","","Leycesteria formosa Wall.","Leycesteria formosa Wall.","Leycesteria formosa","Leycesteria formosa","Wall.","Caprifoliaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148526-1","Accepted",1,"accepted_or_direct"
"Ligustrum delavayanum Har."," J. Bot. (Morot) 14(6): 172-173 (1900)","","","","","","","Ligustrum delavayanum Har.","Ligustrum delavayanum Har.","Ligustrum delavayanum","Ligustrum delavayanum","Har.","Oleaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:609974-1","Accepted",1,"accepted_or_direct"
"Ligustrum lucidum W.T.Aiton"," Hort. Kew."," ed. 2"," 1: 19 (1810)","","","","","Ligustrum lucidum W.T.Aiton","Ligustrum lucidum W.T.Aiton","Ligustrum lucidum","Ligustrum lucidum","W.T.Aiton","Oleaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:610017-1","Accepted",1,"accepted_or_direct"
"Ligustrum ovalifolium Hassk."," Cat. Horto Bogor.: 119 (1844)","","","","","","","Ligustrum ovalifolium Hassk.","Ligustrum ovalifolium Hassk.","Ligustrum ovalifolium","Ligustrum ovalifolium","Hassk.","Oleaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:610056-1","Accepted",1,"accepted_or_direct"
"Ligustrum vulgare L."," Sp. Pl.: 7 (1753)","","","","","","","Ligustrum vulgare L.","Ligustrum vulgare L.","Ligustrum vulgare","Ligustrum vulgare","L.","Oleaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:610130-1","Accepted",1,"accepted_or_direct"
"Lilium candidum L."," Sp. Pl.: 302 (1753)","","","","","","","Lilium candidum L.","Lilium candidum L.","Lilium candidum","Lilium candidum","L.","Liliaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:537512-1","Accepted",1,"accepted_or_direct"
"Lilium martagon L."," Sp. Pl.: 303 (1753)","","","","","","","Lilium martagon L.","Lilium martagon L.","Lilium martagon","Lilium martagon","L.","Liliaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:537662-1","Accepted",1,"accepted_or_direct"
"Lilium pyrenaicum Gouan"," Ill. Observ. Bot.: 25 (1773)","","","","","","","Lilium pyrenaicum Gouan","Lilium pyrenaicum Gouan","Lilium pyrenaicum","Lilium pyrenaicum","Gouan","Liliaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:537763-1","Accepted",1,"accepted_or_direct"
"Limbarda crithmoides (L.) Dumort."," Fl. Belg.: 68 (1827)","","","","","","","Limbarda crithmoides (L.) Dumort.","Limbarda crithmoides (L.) Dumort.","Limbarda crithmoides","Limbarda crithmoides","(L.) Dumort.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:230899-1","Accepted",1,"accepted_or_direct"
"Limniris pseudacorus (L.) Fuss"," Fl. Transsilv.: 636 (1866)","","","","","","","Limniris pseudacorus (L.) Fuss","Limniris pseudacorus (L.) Fuss","Limniris pseudacorus","Iris pseudacorus","L.","Iridaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:439872-1","Synonym",1,"synonym_to_accepted"
"Limodorum abortivum (L.) Sw."," Nova Acta Soc. Sc. Upsal. 6: 80 (1799)","","","","","","","Limodorum abortivum (L.) Sw.","Limodorum abortivum (L.) Sw.","Limodorum abortivum","Limodorum abortivum","(L.) Sw.","Orchidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:640520-1","Accepted",1,"accepted_or_direct"
"Limonium binervosum (G.E.Sm.) C.E.Salmon"," J. Bot. 45: 24 (1907)","","","","","","","Limonium binervosum (G.E.Sm.) C.E.Salmon","Limonium binervosum (G.E.Sm.) C.E.Salmon","Limonium binervosum","Limonium binervosum","(G.E.Sm.) C.E.Salmon","Plumbaginaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:686665-1","Accepted",1,"accepted_or_direct"
